,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id
0,135000,Piso,"Piso en Calle Antonio Floriano Cumbreño, 7, Centro",930 441 735,"Calle Antonio Floriano Cumbreño, 7, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/176887179/d?from=list,4,2,113,Yes,5,No,Yes,No,No,No,No,0
1,169670,Piso,"Piso con terraza en Gil Cordero, Centro",911 227 139,"Gil Cordero, Centro",Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/terraza-ascensor-amueblado/162564792/d?from=list,4,2,148,Yes,8,No,Yes,No,No,No,No,1
2,99000,Piso,Piso con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza/176991939/d?from=list,2,1,107,No,1,No,Yes,Yes,No,No,No,2
3,117260,Piso,Piso con calefacción en Mejostilla,924 150 618,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/176998458/d?from=list,4,2,110,No,0,No,No,Yes,Yes,No,No,3
4,150000,Ático,"Ático en Calle Fuente Nueva, ., Ciudad Monumental",930 441 735,"Calle Fuente Nueva, ., Ciudad Monumental",Cáceres Capital,12,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-no-amueblado/176887314/d?from=list,5,2,136,No,2,No,Yes,Yes,No,No,No,4
5,179000,Piso,"Piso en Antonio Hurtado, 12, Centro",927 135 106,"Antonio Hurtado, 12, Centro",Cáceres Capital,24,/es/comprar/vivienda/caceres-capital/parking-ascensor-parking/176740248/d?from=list,3,2,89,Yes,7,No,No,No,No,Yes,No,5
6,229000,Piso,"Piso en Av. Clara Campoamor, 1, 1, Centro",927 135 106,"Av. Clara Campoamor, 1, 1, Centro",Cáceres Capital,21,/es/comprar/vivienda/caceres-capital/parking-trastero-ascensor-parking/165295673/d?from=list,3,2,112,Yes,6,No,No,No,No,Yes,No,6
7,129000,Piso,"Piso en C. Tenerías, 35, 35, Ciudad Monumental",927 135 106,"C. Tenerías, 35, 35, Ciudad Monumental",Cáceres Capital,18,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176811627/d?from=list,4,2,83,No,0,Yes,No,No,No,No,No,7
8,210000,Casa o chalet,"Casa o chalet con aire acondicionado en Antonio Hernández  Gil , Ciudad Monumental",927 920 486,"Antonio Hernández  Gil , Ciudad Monumental",Cáceres Capital,42,/es/comprar/vivienda/caceres-capital/aire-acondicionado/159745446/d?from=list,4,4,181,No,0,No,No,No,Yes,No,No,8
9,185000,Piso,"Piso con terraza en Avenida Antonio Hurtado , Centro",927 920 486,"Avenida Antonio Hurtado , Centro",Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-ascensor/176959210/d?from=list,4,2,118,Yes,0,No,Yes,Yes,No,No,No,9
