,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
702,6407c4bd4d7c3f56aba50977,108000,Apartamento,"Apartamento con calefacción en Calle San Jorge, Centro",927 135 098,Centro,Cáceres Capital,20,/es/comprar/vivienda/caceres-capital/calefaccion-parking-no-amueblado/176186809/d?from=list,1,1,32,No,0,No,No,No,No,No,No,752,10800.0,170.0,48.0,48.550000000000004,208.0,39.545833333333334,8000,12244.62223686061,34.01283954683503,464.0,4.68529592543798,1/3,47.89156626506025
720,6407c4bd4d7c3f56aba50989,110000,Apartamento,Apartamento con terraza en Centro,927 136 129,Centro,Cáceres Capital,35,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/156717912/d?from=list,3,1,105,No,0,No,No,No,No,No,No,770,11000.0,212.5,157.5,49.650000000000006,210.0,52.47083333333333,10000,15305.777796075765,42.51604943354379,656.6666666666666,6.740157406797474,1/3,56.02409638554217
1369,6407c4bd4d7c3f56aba50c12,60000,Apartamento,"Apartamento con terraza en Calle Postigo, Ciudad Monumental",927 137 029,Ciudad Monumental,Cáceres Capital,29,/es/comprar/vivienda/caceres-capital/calefaccion-terraza-no-amueblado/176701701/d?from=list,2,1,70,No,0,No,No,No,No,No,No,1419,6000.0,125.0,105.0,22.15,160.0,34.34583333333333,0,0.0,0.0,528.6666666666666,8.987651515151516,1/3,32.065217391304344
1914,6407c4bd4d7c3f56aba50e33,88000,Apartamento,Apartamento con terraza en Ciudad Monumental,927 136 129,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/calefaccion-terraza-trastero-amueblado/148003580/d?from=list,2,1,70,No,2,No,Yes,No,No,No,No,1964,8800.0,125.0,105.0,37.550000000000004,188.0,37.9625,0,0.0,0.0,621.3333333333334,7.231869834710744,3/3,30.16528925619835
2958,6407c4bd4d7c3f56aba51247,98000,Apartamento,"Apartamento con terraza en Obispo Segura Saez, Centro",927 920 342,Centro,Cáceres Capital,46,/es/comprar/vivienda/caceres-capital/terraza-ascensor/164485882/d?from=list,2,1,57,Yes,2,No,No,No,No,No,No,3008,9800.0,107.5,85.5,53.050000000000004,198.0,37.00416666666667,0,0.0,0.0,598.1666666666666,6.733949999999998,1/3,20.481927710843376
3012,6407c4bd4d7c3f56aba5127d,135000,Apartamento,Apartamento con terraza en Centro,927 920 167,Centro,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza/155722836/d?from=list,2,1,75,No,2,No,Yes,No,No,No,No,3062,13500.0,137.5,112.5,63.4,235.0,45.699999999999996,35000,53570.22228626518,148.8061730174033,661.1666666666666,5.59992592379116,2/3,55.294117647058826
3528,6407c4bd4d7c3f56aba51481,79000,Apartamento,Apartamento con calefacción en Nuevo Cáceres,927 920 167,Nuevo Cáceres,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/calefaccion/165079431/d?from=list,2,1,80,No,0,No,No,Yes,No,No,No,3578,7900.0,150.0,120.0,32.6,179.0,40.13333333333333,0,0.0,0.0,548.6666666666666,7.022324510932106,3/3,22.033898305084744
4191,6407c4bd4d7c3f56aba51718,78000,Apartamento,Apartamento con terraza en Ciudad Monumental,927 920 167,Ciudad Monumental,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza-patio/155723090/d?from=list,2,1,56,No,0,No,Yes,No,Yes,No,No,4241,7800.0,110.0,84.0,32.050000000000004,178.0,33.670833333333334,0,0.0,0.0,607.3333333333334,8.023251748251749,1/3,98.3695652173913
4240,6407c4bd4d7c3f56aba51749,132000,Apartamento,Apartamento con calefacción en Aguas Vivas - La Zambomba,927 920 167,Aguas Vivas - La Zambomba,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-trastero-patio/162010705/d?from=list,2,1,75,No,0,No,No,Yes,Yes,No,No,4290,13200.0,137.5,112.5,61.75000000000001,232.0,45.3125,32000,48978.48894744244,136.05135818734013,538.6666666666666,4.287633701751918,2/3,42.85714285714286
4705,6407c4bd4d7c3f56aba5191a,69500,Apartamento,"Apartamento en Calle Fuente Concejo, Ciudad Monumental",927 920 589,Ciudad Monumental,Cáceres Capital,13,/es/comprar/vivienda/caceres-capital/zona-comunitaria-patio-amueblado-television-piscina/163345418/d?from=list,2,1,50,No,1,No,No,No,No,No,No,4755,6950.0,125.0,75.0,27.375,169.5,33.072916666666664,0,0.0,0.0,488.6666666666667,7.151242642249836,1/3,56.52173913043478
4719,6407c4bd4d7c3f56aba51928,127500,Apartamento,Apartamento con terraza en Nuevo Cáceres,927 920 167,Nuevo Cáceres,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/calefaccion-terraza/159263629/d?from=list,2,2,70,No,4,No,Yes,No,No,No,No,4769,12750.0,125.0,105.0,59.275,227.5,43.06458333333333,27500,42090.88893920836,116.91913594224543,621.3333333333334,5.536195368693055,2/3,51.515151515151516
5274,6407c4bd4d7c3f56aba51b53,75000,Apartamento,Apartamento con terraza en Centro,927 920 847,Centro,Cáceres Capital,88,/es/comprar/vivienda/caceres-capital/calefaccion-terraza/176099375/d?from=list,2,1,65,No,3,No,Yes,No,No,No,No,5324,7500.0,112.5,97.5,30.4,175.0,34.61666666666667,0,0.0,0.0,651.1666666666666,8.968,3/3,39.17525773195876
5434,6407c4bd4d7c3f56aba51bf3,112000,Apartamento,Apartamento con ascensor en Centro,927 920 764,Centro,Cáceres Capital,89,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-ascensor/164724089/d?from=list,2,2,75,Yes,3,No,No,No,No,No,No,5486,11200.0,137.5,112.5,60.75,212.0,43.5625,12000,18366.93335529092,51.01925932025255,616.1666666666666,6.259018888156969,1/3,62.95180722891567
5789,6407c4bd4d7c3f56aba51d56,50000,Apartamento,Apartamento con calefacción en Ciudad Monumental,927 920 583,Ciudad Monumental,Cáceres Capital,47,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-amueblado/160030270/d?from=list,1,1,70,No,0,No,No,Yes,No,No,No,5853,5000.0,125.0,105.0,16.65,150.0,33.05416666666667,0,0.0,0.0,540.0,11.060636363636364,1/3,14.130434782608695
5797,6407c4bd4d7c3f56aba51d5e,75000,Apartamento,Apartamento con calefacción en Ciudad Monumental,927 920 847,Ciudad Monumental,Cáceres Capital,88,/es/comprar/vivienda/caceres-capital/calefaccion/176099030/d?from=list,2,2,84,No,1,No,No,Yes,No,No,No,5861,7500.0,160.0,126.0,30.4,175.0,40.949999999999996,0,0.0,0.0,556.6666666666666,7.501333333333332,1/3,84.78260869565217
5932,6407c4bd4d7c3f56aba51de5,58600,Apartamento,Apartamento con calefacción en Ciudad Monumental,927 920 847,Ciudad Monumental,Cáceres Capital,88,/es/comprar/vivienda/caceres-capital/calefaccion/176098297/d?from=list,1,1,50,No,1,No,No,Yes,No,No,No,5996,5860.0,125.0,75.0,21.380000000000003,158.6,31.665000000000003,0,0.0,0.0,500.0,8.718616196090597,1/3,28.26086956521739
