,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
19,6407c4bd4d7c3f56aba506cc,149900,Casa adosada,"Casa adosada en Calle las Margaritas, 18, Mejostilla",927 926 041,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-patio-amueblado-no-amueblado/176911973/d?from=list,4,2,171,No,0,No,No,No,No,No,No,19,14990.0,377.5,256.5,71.59500000000001,249.9,79.62458333333333,49900,76375.83120241808,212.15508667338352,903.3333333333334,7.338643959919398,3/3,92.3076923076923
719,6407c4bd4d7c3f56aba50988,130000,Casa adosada,"Casa adosada con terraza en Candeleda, Mejostilla",927 135 098,Mejostilla,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-trastero-no-amueblado/177036819/d?from=list,4,2,111,No,0,No,No,No,No,No,No,769,13000.0,227.5,166.5,60.65,230.0,57.05416666666667,30000,45917.33338822729,127.54814830063138,663.3333333333334,5.744772220392424,3/3,15.384615384615385
2506,6407c4bd4d7c3f56aba51083,74000,Casa adosada,"Casa adosada con 1 baño en Castaño, Nuevo Cáceres",927 920 486,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/nuevo-caceres/165736338/d?from=list,3,1,80,No,0,No,No,No,No,No,No,2556,7400.0,150.0,120.0,29.85,174.0,39.487500000000004,0,0.0,0.0,570.6666666666666,7.830651105651105,3/3,2.542372881355932
5290,6407c4bd4d7c3f56aba51b63,149000,Casa adosada,"Casa adosada en Parque Rústico Cáceres el Viejo, Mejostilla",Unknown,Mejostilla,Cáceres Capital,229,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-patio/164277248/d?from=list,3,2,140,No,0,No,No,Yes,Yes,No,No,5340,14900.0,300.0,210.0,71.10000000000001,249.0,69.175,49000,74998.31120077125,208.3286422243646,765.3333333333334,5.8539562933076255,3/3,89.42307692307692
5433,6407c4bd4d7c3f56aba51bf2,56000,Casa adosada,"Casa adosada en Calle Guatemala, 29, Nuevo Cáceres",924 926 346,Nuevo Cáceres,Cáceres Capital,68,/es/comprar/vivienda/caceres-capital/terraza/163686248/d?from=list,3,2,91,No,0,No,Yes,No,No,No,No,5485,5600.0,177.5,136.5,19.950000000000003,156.0,40.829166666666666,0,0.0,0.0,653.3333333333334,11.931899350649353,1/3,33.65384615384615
5805,6407c4bd4d7c3f56aba51d66,100000,Casa adosada,Casa adosada con terraza en Centro,927 920 342,Centro,Cáceres Capital,52,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza/164886675/d?from=list,4,1,130,No,0,No,Yes,No,Yes,No,No,5869,10000.0,275.0,195.0,44.15,200.0,59.512499999999996,0,0.0,0.0,761.8333333333334,8.427850000000001,1/3,26.80722891566265
8643,6407c4bd4d7c3f56aba5287c,70000,Casa adosada,"Casa adosada en Calle Montánchez, 32, La Cañada",Unknown,La Cañada,Cáceres Capital,387,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/162636947/d?from=list,4,2,120,No,0,Yes,No,Yes,No,No,No,8723,7000.0,250.0,180.0,27.65,170.0,52.30416666666667,0,0.0,0.0,699.3333333333334,10.08357142857143,1/3,39.726027397260275
9188,6407c4bd4d7c3f56aba52a9d,135000,Casa adosada,"Casa adosada en Calle Comarca de Granadilla, 18, La Cañada",Unknown,La Cañada,Cáceres Capital,21,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-trastero-patio/176792707/d?from=list,3,2,90,No,0,No,No,Yes,Yes,No,No,9268,13500.0,175.0,135.0,63.4,235.0,50.699999999999996,35000,53570.22228626518,148.8061730174033,590.6666666666666,4.69392592379116,2/3,92.10526315789474
10365,6407c4bd4d7c3f56aba52f36,79000,Casa adosada,"Casa adosada en Calle Trujillo, 18, Ciudad Monumental",Unknown,Ciudad Monumental,Cáceres Capital,567,/es/comprar/vivienda/caceres-capital/ciudad-monumental/160969746/d?from=list,3,1,84,No,0,No,No,No,No,No,No,10445,7900.0,160.0,126.0,32.6,179.0,41.46666666666667,0,0.0,0.0,578.6666666666666,7.418181818181818,3/3,2.479338842975207
11457,6407c4bd4d7c3f56aba5337a,132000,Casa adosada,"Casa adosada en Calle de la Cruz, 8, Ciudad Monumental",Unknown,Ciudad Monumental,Cáceres Capital,366,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-trastero-patio-no-amueblado/162840617/d?from=list,4,2,100,No,0,No,No,Yes,Yes,No,No,11537,13200.0,200.0,150.0,61.75000000000001,232.0,53.645833333333336,32000,48978.48894744244,136.05135818734013,638.6666666666666,5.387633701751918,2/3,62.28070175438596
