,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
4,6407c4bd4d7c3f56aba506bd,124500,Casa o chalet,Casa o chalet con 2 baños en Nuevo Cáceres,910 306 185,Nuevo Cáceres,Cáceres Capital,2,/es/comprar/vivienda/caceres-capital/parking/176643210/d?from=list,2,2,141,No,0,No,No,No,No,No,No,4,12450.0,302.5,211.5,57.62500000000001,224.5,66.34375,24500,37499.155600385624,104.1643211121823,758.3333333333334,7.053903146653813,2/3,31.818181818181817
25,6407c4bd4d7c3f56aba506d2,68000,Casa o chalet,"Casa o chalet con 1 baño en Castaño, Nuevo Cáceres",927 920 179,Nuevo Cáceres,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/jardin-amueblado/176305677/d?from=list,3,1,78,No,0,No,No,No,No,No,No,27,6800.0,145.0,117.0,26.550000000000004,168.0,38.045833333333334,0,0.0,0.0,566.6666666666666,8.480548128342244,1/3,81.73076923076923
753,6407c4bd4d7c3f56aba509aa,64000,Casa o chalet,Casa o chalet con 1 baño en Ciudad Monumental,927 920 171,Ciudad Monumental,Cáceres Capital,181,/es/comprar/vivienda/caceres-capital/ciudad-monumental/161414444/d?from=list,3,1,98,No,0,No,No,No,No,No,No,803,6400.0,195.0,147.0,24.35,164.0,44.19583333333333,0,0.0,0.0,606.6666666666666,9.587571022727271,1/3,35.869565217391305
914,6407c4bd4d7c3f56aba50a4b,55000,Casa o chalet,"Casa o chalet con 1 baño en Calle Nidos, Ciudad Monumental",927 134 079,Ciudad Monumental,Cáceres Capital,167,/es/comprar/vivienda/caceres-capital/ciudad-monumental/164893551/d?from=list,3,1,75,No,0,No,No,No,No,No,No,964,5500.0,137.5,112.5,19.400000000000006,155.0,35.36666666666667,0,0.0,0.0,560.6666666666666,10.419173553719007,1/3,22.282608695652172
1422,6407c4bd4d7c3f56aba50c47,68000,Casa o chalet,"Casa o chalet con 1 baño en Castaño, Nuevo Cáceres",927 920 916,Nuevo Cáceres,Cáceres Capital,6,/es/comprar/vivienda/caceres-capital/patio/176975615/d?from=list,3,1,80,No,0,No,No,No,No,No,No,1472,6800.0,150.0,120.0,26.550000000000004,168.0,38.7125,0,0.0,0.0,570.6666666666666,8.534024064171122,1/3,81.73076923076923
1453,6407c4bd4d7c3f56aba50c66,115000,Casa o chalet,Casa o chalet con terraza en Ciudad Monumental,927 131 359,Ciudad Monumental,Cáceres Capital,102,/es/comprar/vivienda/caceres-capital/terraza-trastero-patio/159976097/d?from=list,2,1,147,No,0,No,No,No,No,No,No,1503,11500.0,317.5,220.5,52.400000000000006,215.0,67.11666666666666,15000,22958.666694113646,63.77407415031569,782.3333333333334,7.817311110196214,2/3,3.508771929824561
1836,6407c4bd4d7c3f56aba50de5,66000,Casa o chalet,Casa o chalet con terraza en La Cañada,927 920 847,La Cañada,Cáceres Capital,88,/es/comprar/vivienda/caceres-capital/terraza/176097992/d?from=list,4,1,85,No,0,No,No,No,No,No,No,1886,6600.0,162.5,127.5,25.450000000000003,166.0,40.12083333333333,0,0.0,0.0,608.6666666666666,9.39745179063361,1/3,18.493150684931507
1845,6407c4bd4d7c3f56aba50dee,150000,Casa o chalet,Casa o chalet con 1 baño en Ciudad Monumental,927 130 862,Ciudad Monumental,Cáceres Capital,98,/es/comprar/vivienda/caceres-capital/ciudad-monumental/164347488/d?from=list,3,1,251,No,0,No,No,No,No,No,No,1895,15000.0,577.5,376.5,71.65,250.0,106.30416666666667,50000,76528.88898037882,212.58024716771897,1209.3333333333333,10.685387033987372,2/3,94.73684210526315
1876,6407c4bd4d7c3f56aba50e0d,95000,Casa o chalet,Casa o chalet con piscina en Ciudad Monumental,927 920 179,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-parking-trastero-piscina-amueblado-parking/176249548/d?from=list,2,1,90,No,0,No,No,No,No,Yes,Yes,1926,9500.0,175.0,135.0,51.4,195.0,46.36666666666667,0,0.0,0.0,628.3333333333334,6.983600000000001,3/3,60.743801652892564
2462,6407c4bd4d7c3f56aba51057,106000,Casa o chalet,Casa o chalet con terraza en Ciudad Monumental,927 920 764,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza/162322550/d?from=list,3,2,70,No,0,No,Yes,No,Yes,No,No,2512,10600.0,125.0,105.0,47.45,206.0,40.2875,6000,9183.46667764546,25.509629660126276,632.3333333333334,6.7984344440784845,3/3,93.38842975206612
