,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability,group,percentile
882,6407c4bd4d7c3f56aba50a2b,135000,Dúplex,Dúplex con terraza en Centro,927 920 675,Centro,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/176135565/d?from=list,3,3,110,No,0,No,No,No,No,No,No,932,13500.0,225.0,165.0,63.4,235.0,57.36666666666667,35000,53570.22228626518,148.8061730174033,666.6666666666666,5.52592592379116,2/3,55.294117647058826
1394,6407c4bd4d7c3f56aba50c2b,130000,Dúplex,Dúplex con aire acondicionado en Centro,927 920 478,Centro,Cáceres Capital,96,/es/comprar/vivienda/caceres-capital/aire-acondicionado-internet-no-amueblado/165755533/d?from=list,2,1,99,No,0,No,No,No,No,No,No,1444,13000.0,197.5,148.5,60.65,230.0,53.05416666666667,30000,45917.33338822729,127.54814830063138,609.3333333333334,5.144772220392424,2/3,35.588235294117645
2428,6407c4bd4d7c3f56aba51035,149000,Dúplex,Dúplex con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,0,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor/165748378/d?from=list,4,2,112,Yes,2,No,No,No,No,No,No,2478,14900.0,230.0,168.0,81.10000000000001,249.0,60.675000000000004,49000,74998.31120077125,208.3286422243646,666.0,4.763956293307626,2/3,88.1578947368421
3671,6407c4bd4d7c3f56aba51510,104000,Dúplex,Dúplex con terraza en Ciudad Monumental,927 920 167,Ciudad Monumental,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza/158540949/d?from=list,2,2,90,No,0,No,Yes,No,Yes,No,No,3721,10400.0,175.0,135.0,46.35,204.0,46.69583333333333,4000,6122.311118430305,17.006419773417516,641.3333333333334,6.93157296271899,3/3,86.77685950413223
3699,6407c4bd4d7c3f56aba5152c,150000,Dúplex,Dúplex con terraza en Centro,924 150 618,Centro,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-terraza-ascensor/162188712/d?from=list,4,2,101,Yes,4,No,No,No,No,No,No,3749,15000.0,202.5,151.5,81.65,250.0,57.137499999999996,50000,76528.88898037882,212.58024716771897,679.1666666666666,4.913387033987372,2/3,93.23529411764706
4190,6407c4bd4d7c3f56aba51717,145000,Dúplex,Dúplex con calefacción en Ciudad Monumental,927 920 478,Ciudad Monumental,Cáceres Capital,5,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-no-amueblado/176986797/d?from=list,4,2,110,No,0,No,No,Yes,Yes,No,No,4240,14500.0,225.0,165.0,68.9,245.0,58.65833333333333,45000,68876.00008234095,191.32222245094707,659.3333333333334,4.912233330588636,2/3,82.89473684210526
8644,6407c4bd4d7c3f56aba5287d,98000,Dúplex,"Dúplex con balcón en Cuesta del Marqués, Ciudad Monumental",927 136 132,Ciudad Monumental,Cáceres Capital,11,/es/comprar/vivienda/caceres-capital/aire-acondicionado-no-amueblado/163612398/d?from=list,2,2,97,No,1,Yes,No,No,No,No,No,8724,9800.0,192.5,145.5,43.050000000000004,198.0,48.25416666666666,0,0.0,0.0,582.6666666666666,6.4129499999999995,3/3,69.00826446280992
8645,6407c4bd4d7c3f56aba5287e,115000,Dúplex,"Dúplex con aire acondicionado en Calle Trajano, Centro",927 135 098,Centro,Cáceres Capital,8,/es/comprar/vivienda/caceres-capital/aire-acondicionado-no-amueblado/161983011/d?from=list,4,2,106,No,2,No,No,No,Yes,No,No,8725,11500.0,215.0,159.0,52.400000000000006,215.0,53.449999999999996,15000,22958.666694113646,63.77407415031569,684.6666666666666,6.809311110196211,1/3,72.59036144578315
10968,6407c4bd4d7c3f56aba53191,149000,Dúplex,Dúplex con terraza en Ciudad Monumental,927 136 129,Ciudad Monumental,Cáceres Capital,38,/es/comprar/vivienda/caceres-capital/calefaccion-terraza-trastero/165113463/d?from=list,3,2,100,No,1,No,Yes,No,No,No,No,11048,14900.0,200.0,150.0,71.10000000000001,249.0,55.84166666666667,49000,74998.31120077125,208.3286422243646,662.3333333333334,4.777956293307625,2/3,88.1578947368421
12191,6407c4bd4d7c3f56aba53658,145000,Dúplex,"Dúplex con calefacción en Roso de Luna, Ciudad Monumental",927 135 098,Ciudad Monumental,Cáceres Capital,15,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking-no-amueblado/176858059/d?from=list,4,2,115,No,2,No,No,Yes,No,No,No,12313,14500.0,237.5,172.5,68.9,245.0,60.324999999999996,45000,68876.00008234095,191.32222245094707,679.3333333333334,5.132233330588635,2/3,82.89473684210526
14303,6407c4bd4d7c3f56aba53e98,133000,Dúplex,"Dúplex en Avenida de San Blas, Ciudad Monumental",Unknown,Ciudad Monumental,Cáceres Capital,677,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-parking/159853658/d?from=list,2,2,99,No,0,No,No,Yes,Yes,No,No,14444,13300.0,197.5,148.5,62.300000000000004,233.0,53.44166666666666,33000,50509.066727050034,140.30296313069454,590.3333333333334,4.759064442431666,2/3,64.47368421052632
14933,6407c4bd4d7c3f56aba5410e,125000,Dúplex,Dúplex con ascensor en Centro,927 920 764,Centro,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/ascensor/165334651/d?from=list,3,1,85,Yes,5,No,No,No,No,No,No,15074,12500.0,162.5,127.5,67.9,225.0,48.574999999999996,25000,38264.44449018941,106.29012358385948,643.8333333333334,5.867618516993687,2/3,13.823529411764707
18218,6407c4bd4d7c3f56aba54de3,84000,Dúplex,"Dúplex con 2 baños en Calle San José, Ciudad Monumental",927 920 589,Ciudad Monumental,Cáceres Capital,30,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176686864/d?from=list,3,2,76,No,1,No,No,No,No,No,No,18378,8400.0,140.0,114.0,35.35,184.0,39.44583333333333,0,0.0,0.0,562.6666666666666,6.7950757575757565,3/3,14.049586776859504
19919,6407c4bd4d7c3f56aba55488,129000,Dúplex,Dúplex con terraza en Centro,927 920 487,Centro,Cáceres Capital,2,/es/comprar/vivienda/caceres-capital/aire-acondicionado-parking-terraza-trastero/163134448/d?from=list,2,2,105,No,2,No,Yes,No,No,No,No,20079,12900.0,212.5,157.5,60.1,229.0,54.925000000000004,29000,44386.75560861973,123.29654335727702,693.3333333333334,6.1813414797126764,2/3,23.823529411764707
21056,6407c4bd4d7c3f56aba558f9,148000,Dúplex,Dúplex con calefacción en Centro,927 136 129,Centro,Cáceres Capital,35,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/165215396/d?from=list,4,2,125,No,2,No,No,Yes,No,No,No,21216,14800.0,262.5,187.5,70.55000000000001,248.0,64.04583333333333,48000,73467.73342116368,204.0770372810102,736.3333333333334,5.618525552627878,2/3,85.0
21743,6407c4bd4d7c3f56aba55ba8,128000,Dúplex,"Dúplex con calefacción en Luis Grande Baudesson, Ciudad Monumental",927 920 342,Ciudad Monumental,Cáceres Capital,9,/es/comprar/vivienda/caceres-capital/calefaccion/164485886/d?from=list,1,2,96,No,2,No,No,Yes,No,No,No,21903,12800.0,190.0,144.0,59.550000000000004,228.0,51.79583333333333,28000,42856.177829012144,119.04493841392262,592.0,5.053910739032928,2/3,42.5438596491228
24069,6407c4bd4d7c3f56aba564be,152000,Dúplex,"Dúplex con terraza en Calle Calle Agustina de Aragon (plaza de Toros), Aguas Vivas - La Zambomba",927 137 029,Aguas Vivas - La Zambomba,Cáceres Capital,238,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-ascensor-amueblado/162705851/d?from=list,2,3,72,Yes,3,No,No,No,No,No,No,24229,15200.0,130.0,108.0,82.75000000000001,252.0,47.729166666666664,52000,79590.04453959398,221.08345705442773,596.8333333333334,3.936248515346868,2/3,100.0
24761,6407c4bd4d7c3f56aba56772,95000,Dúplex,Dúplex con terraza en Ciudad Monumental,927 920 764,Ciudad Monumental,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/calefaccion-terraza/165357983/d?from=list,2,1,95,No,1,No,Yes,No,No,No,No,24921,9500.0,187.5,142.5,41.4,195.0,47.199999999999996,0,0.0,0.0,646.3333333333334,7.1896,3/3,60.743801652892564
29121,6407c4bd4d7c3f56aba5787a,89900,Dúplex,Dúplex con aire acondicionado en Centro,927 920 478,Centro,Cáceres Capital,104,/es/comprar/vivienda/caceres-capital/aire-acondicionado-amueblado/164435564/d?from=list,4,2,110,No,0,No,No,No,Yes,No,No,29289,8990.0,225.0,165.0,38.595,189.9,51.54125,0,0.0,0.0,692.6666666666666,7.779861462230761,3/3,91.75257731958762
29817,6407c4bd4d7c3f56aba57b32,58000,Dúplex,Dúplex con 1 baño en Ciudad Monumental,927 135 081,Ciudad Monumental,Cáceres Capital,49,/es/comprar/vivienda/caceres-capital/amueblado/159765072/d?from=list,2,1,43,No,1,No,No,No,No,No,No,29985,5800.0,142.5,64.5,21.050000000000004,158.0,32.170833333333334,0,0.0,0.0,474.6666666666667,8.322805642633229,1/3,27.173913043478258
31331,6407c4bd4d7c3f56aba5811c,62000,Dúplex,Dúplex con 1 baño en Ciudad Monumental,927 920 764,Ciudad Monumental,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/ciudad-monumental/165358232/d?from=list,2,1,40,No,1,No,No,No,No,No,No,31499,6200.0,150.0,60.0,23.25,162.0,32.9375,0,0.0,0.0,468.6666666666667,7.666788856304986,1/3,33.69565217391304
