,_id,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,transfer_taxes,insurance,ibi,community,maintenance,costs,amount_to_pay,total_mortgage,monthly_mortgage,incomes,rentability
38960,6407c4bd4d7c3f56aba59ee9,49000,Finca rústica,Finca rústica en Mejostilla,927 920 847,Mejostilla,Cáceres Capital,48,/es/comprar/vivienda/caceres-capital/mejostilla/176099979/d?from=list,0,0,1300,No,0,No,No,No,No,No,No,39211,4900.0,3200.0,1950.0,16.1,151.0,443.0916666666667,0,0.0,0.0,7800.0,163.79016697588125
1821,6407c4bd4d7c3f56aba50dd6,130000,Piso,Piso con terraza en Ciudad Monumental,912 173 367,Ciudad Monumental,Cáceres Capital,8,/es/comprar/vivienda/caceres-capital/calefaccion-jardin-terraza-patio/176938711/d?from=list,8,3,530,No,0,No,No,No,No,No,No,1871,13000.0,1275.0,795.0,60.65,230.0,196.72083333333333,30000,45917.33338822729,127.54814830063138,3180.0,34.26877222039242
5829,6407c4bd4d7c3f56aba51d7e,73000,Casa o chalet,"Casa o chalet con 2 baños en Avenida de San Blas, Ciudad Monumental",927 920 783,Ciudad Monumental,Cáceres Capital,253,/es/comprar/vivienda/caceres-capital/ciudad-monumental/164004947/d?from=list,5,2,332,No,0,No,No,No,No,No,No,5893,7300.0,780.0,498.0,29.300000000000004,173.0,123.35833333333333,0,0.0,0.0,1992.0,27.924906600249066
25462,6407c4bd4d7c3f56aba56a2f,27000,Casa o chalet,Casa o chalet con terraza en La Cañada,927 920 171,La Cañada,Cáceres Capital,23,/es/comprar/vivienda/caceres-capital/terraza-trastero/161414603/d?from=list,3,1,75,No,0,No,Yes,No,No,No,No,25622,2700.0,137.5,112.5,5.0,173.0,35.666666666666664,0,0.0,0.0,665.0,25.427609427609426
39762,6407c4bd4d7c3f56aba5a20b,73000,Casa o chalet,Casa o chalet con 2 baños en Ciudad Monumental,927 920 847,Ciudad Monumental,Cáceres Capital,12,/es/comprar/vivienda/caceres-capital/patio/176099469/d?from=list,7,2,300,No,0,No,No,No,No,No,No,40013,7300.0,700.0,450.0,29.300000000000004,173.0,112.69166666666666,0,0.0,0.0,1800.0,25.21506849315069
31643,6407c4bd4d7c3f56aba58254,25000,Piso,Piso con calefacción en La Cañada,924 150 618,La Cañada,Cáceres Capital,133,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/162342880/d?from=list,2,1,65,No,4,No,No,Yes,No,No,No,31811,2500.0,112.5,97.5,5.0,175.0,32.5,0,0.0,0.0,583.0,24.021818181818183
38078,6407c4bd4d7c3f56aba59b77,80000,Casa o chalet,Casa o chalet en Ciudad Monumental,927 920 179,Ciudad Monumental,Cáceres Capital,141,/es/comprar/vivienda/caceres-capital/no-amueblado/163229467/d?from=list,0,0,300,No,0,No,No,No,No,No,No,38329,8000.0,700.0,450.0,33.15,180.0,113.59583333333335,0,0.0,0.0,1800.0,22.99642045454545
37203,6407c4bd4d7c3f56aba5980c,35000,Casa o chalet,"Casa o chalet en Plaza Avenida de la Constitucion Nº2, La Cañada",Unknown,La Cañada,Cáceres Capital,158,/es/comprar/vivienda/caceres-capital/terraza-trastero-amueblado/165121823/d?from=list,4,1,65,No,0,No,Yes,No,No,No,No,37454,3500.0,112.5,97.5,8.4,165.0,31.95,0,0.0,0.0,686.0,20.385974025974026
4112,6407c4bd4d7c3f56aba516c9,30200,Piso,Piso con 1 baño en La Cañada,952 146 148,La Cañada,Cáceres Capital,101,/es/comprar/vivienda/caceres-capital/la-canada/165699919/d?from=list,0,1,86,No,0,No,No,No,No,No,No,4162,3020.0,165.0,129.0,5.76,169.8,39.13,0,0.0,0.0,600.0,20.260204695966287
35459,6407c4bd4d7c3f56aba5913c,99000,Casa o chalet,Casa o chalet con calefacción en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,133,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/162343619/d?from=list,4,2,283,No,0,No,No,Yes,Yes,No,No,35664,9900.0,657.5,424.5,43.6,199.0,110.38333333333333,0,0.0,0.0,1698.0,19.0514
32129,6407c4bd4d7c3f56aba5843a,32000,Apartamento,Apartamento con calefacción en La Cañada,927 920 847,La Cañada,Cáceres Capital,88,/es/comprar/vivienda/caceres-capital/calefaccion/176100386/d?from=list,2,1,55,No,0,No,No,Yes,No,No,No,32297,3200.0,112.5,82.5,6.750000000000002,168.0,30.8125,0,0.0,0.0,583.0,18.824573863636363
30623,6407c4bd4d7c3f56aba57e58,32000,Piso,Piso con calefacción en La Cañada,924 150 618,La Cañada,Cáceres Capital,133,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion/162188907/d?from=list,2,1,55,No,0,No,No,Yes,Yes,No,No,30791,3200.0,112.5,82.5,6.750000000000002,168.0,30.8125,0,0.0,0.0,583.0,18.824573863636363
15950,6407c4bd4d7c3f56aba54507,34000,Casa o chalet,"Casa o chalet con 1 baño en Calle Gloria , Ciudad Monumental",927 920 486,Ciudad Monumental,Cáceres Capital,43,/es/comprar/vivienda/caceres-capital/ciudad-monumental/165228173/d?from=list,3,1,60,No,0,No,No,No,No,No,No,16091,3400.0,100.0,90.0,7.850000000000003,166.0,30.320833333333336,0,0.0,0.0,616.0,18.791844919786097
28517,6407c4bd4d7c3f56aba5761e,34000,Apartamento,"Apartamento en Cl Hoyos Nº 6 3 Izq, La Cañada",910 304 295,La Cañada,Cáceres Capital,6,/es/comprar/vivienda/caceres-capital/la-canada/176596689/d?from=list,3,1,48,No,0,No,No,No,No,No,No,28685,3400.0,130.0,72.0,7.850000000000003,166.0,31.320833333333336,0,0.0,0.0,616.0,18.75975935828877
29768,6407c4bd4d7c3f56aba57b01,32260,Casa o chalet,Casa o chalet con 1 baño en La Cañada,924 150 618,La Cañada,Cáceres Capital,35,/es/comprar/vivienda/caceres-capital/la-canada/165458925/d?from=list,2,1,65,No,0,No,No,No,No,No,No,29936,3226.0,112.5,97.5,6.8930000000000025,167.74,32.05275,0,0.0,0.0,583.0,18.630916417742206
32254,6407c4bd4d7c3f56aba584b7,33000,Piso,Piso con aire acondicionado en La Cañada,927 920 478,La Cañada,Cáceres Capital,104,/es/comprar/vivienda/caceres-capital/aire-acondicionado-internet-no-amueblado/163906589/d?from=list,2,1,55,No,0,No,No,No,Yes,No,No,32422,3300.0,112.5,82.5,7.3000000000000025,167.0,30.775000000000002,0,0.0,0.0,583.0,18.255371900826447
3159,6407c4bd4d7c3f56aba51310,35000,Casa o chalet,"Casa o chalet con 1 baño en Danubio, La Cañada",911 228 034,La Cañada,Cáceres Capital,7,/es/comprar/vivienda/caceres-capital/la-canada/162476262/d?from=list,3,1,65,No,0,No,No,No,No,No,No,3209,3500.0,112.5,97.5,8.4,165.0,31.95,0,0.0,0.0,616.0,18.204155844155842
37322,6407c4bd4d7c3f56aba59883,37100,Piso,Piso con 2 baños en La Cañada,924 155 013,La Cañada,Cáceres Capital,64,/es/comprar/vivienda/caceres-capital/la-canada/160052418/d?from=list,4,2,90,No,2,No,No,No,No,No,No,37573,3710.0,175.0,135.0,9.555000000000001,162.9,40.20458333333334,0,0.0,0.0,658.0,18.166000980151924
25729,6407c4bd4d7c3f56aba56b3a,37000,Casa o chalet,Casa o chalet con terraza en Ciudad Monumental,924 150 618,Ciudad Monumental,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/terraza/165315424/d?from=list,2,1,71,No,0,No,Yes,No,No,No,No,25889,3700.0,127.5,106.5,9.500000000000002,163.0,33.875,0,0.0,0.0,648.5,18.12162162162162
41040,6407c4bd4d7c3f56aba5a709,35000,Casa o chalet,Casa o chalet con 1 baño en Nuevo Cáceres,927 920 764,Nuevo Cáceres,Cáceres Capital,90,/es/comprar/vivienda/caceres-capital/nuevo-caceres/165358039/d?from=list,3,1,75,No,0,No,No,No,No,No,No,41291,3500.0,137.5,112.5,8.4,165.0,35.28333333333333,0,0.0,0.0,616.0,18.10025974025974
5308,6407c4bd4d7c3f56aba51b75,146000,Casa o chalet,Casa o chalet con balcón en Ciudad Monumental,927 920 847,Ciudad Monumental,Cáceres Capital,90,/es/comprar/vivienda/caceres-capital/aire-acondicionado-trastero-patio/176083458/d?from=list,5,2,300,No,0,Yes,No,No,Yes,No,No,5358,14600.0,700.0,450.0,69.45000000000002,246.0,122.12083333333334,46000,70406.57786194852,195.57382739430145,1800.0,17.787664071268384
6354,6407c4bd4d7c3f56aba51f8b,38000,Apartamento,"Apartamento en Calle Cuba, 7, Nuevo Cáceres",927 920 589,Nuevo Cáceres,Cáceres Capital,13,/es/comprar/vivienda/caceres-capital/terraza-amueblado/161684510/d?from=list,2,1,55,No,4,No,Yes,No,No,No,No,6418,3800.0,112.5,82.5,10.050000000000002,162.0,30.587500000000002,0,0.0,0.0,648.5,17.739114832535886
4136,6407c4bd4d7c3f56aba516e1,39000,Piso,Piso con terraza en La Cañada,927 920 167,La Cañada,Cáceres Capital,1,/es/comprar/vivienda/caceres-capital/calefaccion-parking-terraza-trastero-no-amueblado/159708650/d?from=list,3,1,70,No,2,No,Yes,No,No,No,No,4186,3900.0,125.0,105.0,10.600000000000003,161.0,33.46666666666667,0,0.0,0.0,665.0,17.665268065268062
40356,6407c4bd4d7c3f56aba5a45d,34000,Casa o chalet,Casa o chalet con 1 baño en Ciudad Monumental,927 920 847,Ciudad Monumental,Cáceres Capital,19,/es/comprar/vivienda/caceres-capital/ciudad-monumental/176098825/d?from=list,2,1,70,No,0,No,No,No,No,No,No,40607,3400.0,125.0,105.0,7.850000000000003,166.0,33.65416666666667,0,0.0,0.0,583.0,17.626069518716577
22873,6407c4bd4d7c3f56aba56012,39000,Apartamento,Apartamento con terraza en Nuevo Cáceres,927 920 171,Nuevo Cáceres,Cáceres Capital,181,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza/161476287/d?from=list,2,1,60,No,4,No,Yes,No,No,No,No,23033,3900.0,100.0,90.0,10.600000000000003,161.0,30.133333333333336,0,0.0,0.0,648.5,17.296969696969697
39736,6407c4bd4d7c3f56aba5a1f1,40000,Casa o chalet,Casa o chalet con terraza en Nuevo Cáceres,927 920 764,Nuevo Cáceres,Cáceres Capital,34,/es/comprar/vivienda/caceres-capital/terraza/165358031/d?from=list,3,1,49,No,0,No,Yes,No,No,No,No,39987,4000.0,127.5,73.5,11.15,160.0,31.0125,0,0.0,0.0,665.0,17.29056818181818
6359,6407c4bd4d7c3f56aba51f90,40000,Apartamento,"Apartamento en Calle Colombia, 6, Nuevo Cáceres",927 920 589,Nuevo Cáceres,Cáceres Capital,13,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza-amueblado/162865927/d?from=list,2,1,55,No,4,No,Yes,No,No,No,No,6423,4000.0,112.5,82.5,11.15,160.0,30.5125,0,0.0,0.0,648.5,16.854204545454543
33659,6407c4bd4d7c3f56aba58a34,38000,Casa o chalet,"Casa o chalet en Calle Río Danubio, La Cañada",924 926 346,La Cañada,Cáceres Capital,274,/es/comprar/vivienda/caceres-capital/la-canada/162005855/d?from=list,3,1,66,No,0,No,No,No,No,No,No,33827,3800.0,115.0,99.0,10.050000000000002,162.0,32.170833333333334,0,0.0,0.0,616.0,16.760645933014352
29470,6407c4bd4d7c3f56aba579d7,43500,Piso,Piso con 2 baños en La Cañada,914 893 781,La Cañada,Cáceres Capital,16,/es/comprar/vivienda/caceres-capital/parking-no-amueblado/164408877/d?from=list,4,2,123,No,3,No,No,No,No,Yes,No,29638,4350.0,257.5,184.5,13.075000000000001,156.5,50.96458333333334,0,0.0,0.0,713.0,16.60276907001045
29929,6407c4bd4d7c3f56aba57ba2,40900,Apartamento,Apartamento con terraza en Nuevo Cáceres,927 920 764,Nuevo Cáceres,Cáceres Capital,89,/es/comprar/vivienda/caceres-capital/aire-acondicionado-terraza-amueblado/165358035/d?from=list,2,1,58,No,4,No,Yes,No,No,No,No,30097,4090.0,105.0,87.0,11.645000000000001,159.1,30.22875,0,0.0,0.0,648.5,16.490897977328295
