,price,type,title,mobile,address,city,age,url,rooms,bathrooms,m2,elevator,floor,balcony,terrace,heating,air_conditioning,parking,pool,id,itp,transfer_taxes,insurance,ibi,community,maintenance,ext_costs,exp_income,group,percentile
0,89000,Piso,Piso con ascensor en Centro,927 920 171,Centro,Caceres Capital,14,/es/comprar/vivienda/caceres-capital/aire-acondicionado-calefaccion-ascensor/161414650/d?from=list,3,1,72,No,0,No,No,No,No,No,No,46,7120.0,7876.5,130.0,445.0,38.1,189.0,66.8416666667,0.0,2/3,42.7170868347
1,154900,Apartamento,Apartamento con terraza en El Rubial,968 915 849,El Rubial,Aguilas,0,/es/comprar/vivienda/aguilas/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-piscina/177950476/d?from=list,2,2,80,Yes,0,No,Yes,Yes,No,No,No,6,12392.0,13708.65,150.0,774.5,84.345,254.9,105.3120833333,0.0,2/2,50.0
2,907200,Casa o chalet,Casa o chalet con 1 baño en La Cañada,961 285 364,La Canada,Paterna,0,/es/comprar/vivienda/paterna/la-canada/163580320/d?from=list,1,1,2541,No,0,No,No,No,No,No,No,8,72576.0,80287.2,6302.5,4536.0,488.11,1007.2,1027.8175,0.0,1/3,92.8571428571
3,60000,Piso,"Piso con 1 baño en Nicolas David, El Mercado",961 286 182,El Mercado,Manises,1,/es/comprar/vivienda/manises/el-mercado/177932977/d?from=list,2,1,50,No,0,No,No,No,No,No,No,0,4800.0,5310.0,125.0,300.0,22.15,160.0,50.5958333333,625.3333333333,3/3,48.7804878049
4,300000,Apartamento,Apartamento con terraza en Los Collados - Los Geraneos,968 915 849,Los Collados - Los Geraneos,Aguilas,0,/es/comprar/vivienda/aguilas/aire-acondicionado-calefaccion-parking-jardin-terraza-trastero-ascensor-piscina/177582264/d?from=list,2,3,132,Yes,3,No,Yes,No,No,No,No,1,24000.0,26550.0,280.0,1500.0,164.15,400.0,195.3458333333,0.0,3/3,55.5555555556
5,907200,Casa o chalet,Casa o chalet con 1 baño en La Cañada,961 285 364,La Canada,Paterna,0,/es/comprar/vivienda/paterna/la-canada/163580320/d?from=list,1,1,2541,No,0,No,No,No,No,No,No,8,72576.0,80287.2,6302.5,4536.0,488.11,1007.2,1027.8175,0.0,1/3,95.6989247312
6,525000,Casa o chalet,"Casa o chalet con piscina en Partida de Maitino, Perleta - Maitino",966 533 467,Perleta - Maitino,Elche / Elx,10,/es/comprar/vivienda/elche-elx/aire-acondicionado-parking-jardin-piscina/165574799/d?from=list,6,4,300,No,0,No,No,No,Yes,No,Yes,1264,52500.0,56962.5,700.0,2625.0,287.9,625.0,353.1583333333,1657.0,1/1,100.0
7,260000,Casa o chalet,"Casa o chalet con aire acondicionado en Morella, Valverde",966 536 792,Valverde,Elche / Elx,0,/es/comprar/vivienda/elche-elx/aire-acondicionado-jardin-trastero-amueblado-parking/165588187/d?from=list,3,2,85,No,0,No,No,No,Yes,Yes,No,760,26000.0,28210.0,162.5,1300.0,132.15,360.0,162.8875,795.0,1/1,50.0
8,179400,Casa o chalet,"Casa o chalet con terraza en Calle Andrés Boix Agulló, La Foia - Daimés - Asprella",966 531 984,La Foia - Daimes - Asprella,Elche / Elx,177,/es/comprar/vivienda/elche-elx/aire-acondicionado-calefaccion-terraza-patio-amueblado-internet/165586680/d?from=list,2,1,80,No,0,No,Yes,Yes,Yes,No,No,773,14352.0,15876.9,150.0,897.0,87.82,279.4,117.8516666667,0.0,1/1,50.0
9,90500,Piso,Piso con piscina en El Altet,912 172 458,El Altet,Elche / Elx,32,/es/comprar/vivienda/elche-elx/parking-terraza-ascensor-piscina-no-amueblado/176659211/d?from=list,2,1,77,Yes,0,No,Yes,No,No,No,Yes,1258,9050.0,9819.25,142.5,452.5,58.925,190.5,70.36875,793.9,1/1,100.0
